Home,Away
Bayern Munich,Wolfsburg
Hoffenheim,Augsburg
Hannover 96,Schalke 04
Hertha Berlin,Werder Bremen
Eintracht Frankfurt,Freiburg
FC Cologne,Hamburger SV
Borussia Dortmund,Bayer Leverkusen
Paderborn,Mainz 05
Borussia M.Gladbach,VfB Stuttgart
Augsburg,Borussia Dortmund
Werder Bremen,Hoffenheim
VfB Stuttgart,FC Cologne
Hamburger SV,Paderborn
Bayer Leverkusen,Hertha Berlin
Wolfsburg,Eintracht Frankfurt
Schalke 04,Bayern Munich
Mainz 05,Hannover 96
Freiburg,Borussia M.Gladbach
Bayer Leverkusen,Werder Bremen
Hoffenheim,Wolfsburg
Bayern Munich,VfB Stuttgart
Borussia Dortmund,Freiburg
Hertha Berlin,Mainz 05
Paderborn,FC Cologne
Borussia M.Gladbach,Schalke 04
Eintracht Frankfurt,Augsburg
Hannover 96,Hamburger SV
Freiburg,Hertha Berlin
VfB Stuttgart,Hoffenheim
Hamburger SV,Bayern Munich
Schalke 04,Eintracht Frankfurt
Paderborn,Hannover 96
Augsburg,Werder Bremen
Mainz 05,Borussia Dortmund
Wolfsburg,Bayer Leverkusen
FC Cologne,Borussia M.Gladbach
Hoffenheim,Freiburg
Bayern Munich,Paderborn
Werder Bremen,Schalke 04
Eintracht Frankfurt,Mainz 05
Borussia Dortmund,VfB Stuttgart
Bayer Leverkusen,Augsburg
Borussia M.Gladbach,Hamburger SV
Hannover 96,FC Cologne
Hertha Berlin,Wolfsburg
Mainz 05,Hoffenheim
Freiburg,Bayer Leverkusen
VfB Stuttgart,Hannover 96
Schalke 04,Borussia Dortmund
FC Cologne,Bayern Munich
Paderborn,Borussia M.Gladbach
Wolfsburg,Werder Bremen
Augsburg,Hertha Berlin
Hamburger SV,Eintracht Frankfurt
Hertha Berlin,VfB Stuttgart
Werder Bremen,Freiburg
Bayern Munich,Hannover 96
Borussia Dortmund,Hamburger SV
Bayer Leverkusen,Paderborn
Hoffenheim,Schalke 04
Eintracht Frankfurt,FC Cologne
Wolfsburg,Augsburg
Borussia M.Gladbach,Mainz 05
Bayern Munich,Werder Bremen
Mainz 05,Augsburg
Hannover 96,Borussia M.Gladbach
Freiburg,Wolfsburg
VfB Stuttgart,Bayer Leverkusen
FC Cologne,Borussia Dortmund
Schalke 04,Hertha Berlin
Hamburger SV,Hoffenheim
Paderborn,Eintracht Frankfurt
Werder Bremen,FC Cologne
Eintracht Frankfurt,VfB Stuttgart
Augsburg,Freiburg
Hoffenheim,Paderborn
Hertha Berlin,Hamburger SV
Borussia Dortmund,Hannover 96
Bayer Leverkusen,Schalke 04
Wolfsburg,Mainz 05
Borussia M.Gladbach,Bayern Munich
Schalke 04,Augsburg
Mainz 05,Werder Bremen
Hannover 96,Eintracht Frankfurt
VfB Stuttgart,Wolfsburg
Hamburger SV,Bayer Leverkusen
Bayern Munich,Borussia Dortmund
Borussia M.Gladbach,Hoffenheim
FC Cologne,Freiburg
Paderborn,Hertha Berlin
Hertha Berlin,Hannover 96
Augsburg,Paderborn
Hoffenheim,FC Cologne
Bayer Leverkusen,Mainz 05
Eintracht Frankfurt,Bayern Munich
Freiburg,Schalke 04
Werder Bremen,VfB Stuttgart
