GH,XGH,GA,XGA,Side
1,1.02,0,0.17,1
1,1.22,1,0.62,0
0,2.59,1,0.84,1
1,1.27,0,0.13,1
2,1.46,0,0.99,0
2,1.97,1,0.08,1
0,0.33,0,1.66,0
1,1.91,1,0.69,1
0,0.91,1,0.72,0
1,0.37,1,1.07,1
0,0.26,2,2.13,0
1,0.99,1,0.48,1
1,0.55,2,0.72,0
0,1.06,0,1.47,1
2,0.77,0,0.75,0
1,1.48,2,0.87,1
2,1.86,1,0.15,0
2,0.16,1,1.03,1
1,2.86,2,1.07,0
0,0.68,0,0.85,1
1,2.22,0,1.23,0
4,1.41,0,0.56,0
1,1.38,1,0.63,1
0,1.23,0,0.19,0
0,0.25,2,0.64,1
1,2.35,0,0.25,0
1,0.31,0,0.19,1
3,2.73,1,0.91,0
2,1.37,1,0.79,1
0,0.21,0,0.28,0
1,1.23,2,1.82,1
1,0.36,0,0.45,0
1,0.78,0,1.03,1
1,0.83,1,0.53,0
0,0.51,2,2.21,1
2,1.76,1,0.97,0
1,1.56,1,0.36,1
1,0.96,0,1.00,0
