GH,XGH,GA,XGA,Side
1,0.80,0,1.43,0
1,1.33,0,0.24,1
2,1.70,1,0.82,0
1,1.27,2,1.42,1
2,2.19,0,0.23,0
2,1.71,2,1.12,1
1,1.41,2,0.27,0
0,0.98,1,0.29,1
2,1.18,2,1.13,0
1,0.89,0,1.50,1
1,1.38,0,0.60,0
1,1.40,0,0.71,1
0,0.68,1,0.41,0
3,1.63,2,1.31,0
1,0.83,0,0.21,1
1,1.10,2,1.45,0
0,0.18,0,0.97,1
3,2.22,2,1.57,0
0,1.29,1,1.74,1
1,0.64,1,1.35,0
1,0.74,0,0.89,1
0,0.95,2,2.98,0
2,0.90,2,1.82,1
2,2.91,1,0.68,0
2,1.00,1,0.97,1
3,1.10,0,0.50,0
3,1.75,3,1.70,1
2,1.98,1,1.12,1
6,2.91,0,0.13,0
2,1.50,0,0.10,1
