Home,Away
Borussia Dortmund,Wolfsburg
Hamburger SV,Freiburg
Borussia M.Gladbach,RasenBallsport Leipzig
FC Cologne,Schalke 04
Wolfsburg,Werder Bremen
Darmstadt,Augsburg
RasenBallsport Leipzig,FC Cologne
Freiburg,Borussia Dortmund
Bayer Leverkusen,Mainz 05
Bayern Munich,Hamburger SV
Hertha Berlin,Eintracht Frankfurt
Ingolstadt,Borussia M.Gladbach
Schalke 04,Hoffenheim
Augsburg,RasenBallsport Leipzig
Mainz 05,Wolfsburg
FC Cologne,Bayern Munich
Werder Bremen,Darmstadt
Hoffenheim,Ingolstadt
Borussia Dortmund,Bayer Leverkusen
Borussia M.Gladbach,Schalke 04
Eintracht Frankfurt,Freiburg
Hamburger SV,Hertha Berlin
Bayer Leverkusen,Werder Bremen
Bayern Munich,Eintracht Frankfurt
Darmstadt,Mainz 05
Freiburg,Hoffenheim
RasenBallsport Leipzig,Wolfsburg
Hertha Berlin,Borussia Dortmund
Ingolstadt,FC Cologne
Schalke 04,Augsburg
Hamburger SV,Borussia M.Gladbach
Borussia Dortmund,Ingolstadt
Wolfsburg,Darmstadt
FC Cologne,Hertha Berlin
Augsburg,Freiburg
Werder Bremen,RasenBallsport Leipzig
Hoffenheim,Bayer Leverkusen
Eintracht Frankfurt,Hamburger SV
Mainz 05,Schalke 04
Borussia M.Gladbach,Bayern Munich
Hertha Berlin,Hoffenheim
Hamburger SV,FC Cologne
Bayern Munich,Augsburg
Schalke 04,Borussia Dortmund
Freiburg,Werder Bremen
RasenBallsport Leipzig,Darmstadt
Eintracht Frankfurt,Borussia M.Gladbach
Ingolstadt,Mainz 05
Bayer Leverkusen,Wolfsburg
Borussia Dortmund,Hamburger SV
FC Cologne,Eintracht Frankfurt
Werder Bremen,Schalke 04
Hoffenheim,Bayern Munich
Darmstadt,Bayer Leverkusen
Augsburg,Ingolstadt
Mainz 05,RasenBallsport Leipzig
Wolfsburg,Freiburg
Borussia M.Gladbach,Hertha Berlin
Eintracht Frankfurt,Werder Bremen
Freiburg,Mainz 05
RasenBallsport Leipzig,Bayer Leverkusen
Schalke 04,Wolfsburg
FC Cologne,Borussia M.Gladbach
Hamburger SV,Hoffenheim
Bayern Munich,Borussia Dortmund
Hertha Berlin,Augsburg
Ingolstadt,Darmstadt
Borussia Dortmund,Eintracht Frankfurt
Augsburg,FC Cologne
Mainz 05,Hertha Berlin
Wolfsburg,Ingolstadt
RasenBallsport Leipzig,Freiburg
Hoffenheim,Borussia M.Gladbach
Bayer Leverkusen,Bayern Munich
Werder Bremen,Hamburger SV
Darmstadt,Schalke 04
FC Cologne,Hoffenheim
Bayern Munich,Mainz 05
Hamburger SV,Darmstadt
Hertha Berlin,Wolfsburg
Eintracht Frankfurt,Augsburg
Ingolstadt,Werder Bremen
Borussia M.Gladbach,Borussia Dortmund
Freiburg,Bayer Leverkusen
Schalke 04,RasenBallsport Leipzig
Bayer Leverkusen,Schalke 04
Borussia Dortmund,FC Cologne
Darmstadt,Freiburg
Werder Bremen,Hertha Berlin
RasenBallsport Leipzig,Ingolstadt
Mainz 05,Borussia M.Gladbach
Wolfsburg,Bayern Munich
Augsburg,Hamburger SV
Hoffenheim,Eintracht Frankfurt
FC Cologne,Werder Bremen
Eintracht Frankfurt,Wolfsburg
Bayern Munich,Darmstadt
Borussia Dortmund,Hoffenheim
Borussia M.Gladbach,Augsburg
Ingolstadt,Bayer Leverkusen
Hertha Berlin,RasenBallsport Leipzig
Hamburger SV,Mainz 05
Freiburg,Schalke 04
Bayer Leverkusen,FC Cologne
Schalke 04,Hamburger SV
Mainz 05,Eintracht Frankfurt
Wolfsburg,Borussia M.Gladbach
Augsburg,Borussia Dortmund
Werder Bremen,Hoffenheim
Darmstadt,Hertha Berlin
Freiburg,Ingolstadt
RasenBallsport Leipzig,Bayern Munich
Borussia Dortmund,Werder Bremen
Borussia M.Gladbach,Darmstadt
Hertha Berlin,Bayer Leverkusen
FC Cologne,Mainz 05
Hamburger SV,Wolfsburg
Ingolstadt,Schalke 04
Hoffenheim,Augsburg
Eintracht Frankfurt,RasenBallsport Leipzig
Bayern Munich,Freiburg
