GH,XGH,GA,XGA,Side
4,2.42,0,0.19,1
0,0.05,4,3.63,0
3,3.73,1,0.63,1
2,0.58,4,2.17,0
3,4.08,0,0.93,1
1,1.19,1,1.64,0
2,1.97,2,0.51,1
5,3.72,1,1.10,0
0,1.55,2,3.64,0
5,4.21,1,0.29,1
1,0.98,3,3.36,0
3,2.15,2,1.37,1
3,1.47,1,2.31,0
4,2.12,1,0.70,1
1,1.79,2,2.59,0
4,6.03,1,0.13,1
2,0.77,1,0.75,0
1,0.97,3,2.60,0
2,2.19,0,0.15,1
0,0.88,0,0.39,0
1,1.24,0,0.21,1
0,0.79,1,1.26,0
3,2.47,1,0.88,1
0,0.42,2,3.36,0
0,0.75,0,1.15,1
2,3.95,0,0.14,1
1,1.02,3,1.53,0
3,2.84,2,0.44,1
2,1.23,2,1.70,0
3,1.91,0,0.62,1
0,0.48,3,3.54,0
5,3.14,1,0.64,1
1,0.70,0,1.47,0
2,1.15,2,1.61,1
