Home,Away
Zenit St. Petersburg,Lokomotiv Moscow
Anzhi Makhachkala,CSKA Moscow
FC Rostov,FC Orenburg
Ural,FC Ufa
Spartak Moscow,Arsenal Tula
FK Akhmat,Krylya Sovetov Samara
Rubin Kazan,Amkar
FC Krasnodar,Tom Tomsk
FC Ufa,Zenit St. Petersburg
Arsenal Tula,Rubin Kazan
FC Orenburg,CSKA Moscow
Amkar,Anzhi Makhachkala
Lokomotiv Moscow,Tom Tomsk
FC Rostov,Ural
FC Krasnodar,FK Akhmat
Spartak Moscow,Krylya Sovetov Samara
Zenit St. Petersburg,FC Rostov
Ural,CSKA Moscow
Krylya Sovetov Samara,FC Krasnodar
Rubin Kazan,Spartak Moscow
Tom Tomsk,FC Ufa
Anzhi Makhachkala,Arsenal Tula
FK Akhmat,Lokomotiv Moscow
FC Orenburg,Amkar
Rubin Kazan,Anzhi Makhachkala
FC Ufa,FK Akhmat
Zenit St. Petersburg,CSKA Moscow
FC Rostov,Tom Tomsk
Amkar,Ural
Spartak Moscow,FC Krasnodar
Lokomotiv Moscow,Krylya Sovetov Samara
Arsenal Tula,FC Orenburg
Krylya Sovetov Samara,FC Ufa
FC Orenburg,Rubin Kazan
Tom Tomsk,CSKA Moscow
Zenit St. Petersburg,Amkar
Ural,Arsenal Tula
FK Akhmat,FC Rostov
FC Krasnodar,Lokomotiv Moscow
Anzhi Makhachkala,Spartak Moscow
FC Rostov,Krylya Sovetov Samara
Amkar,Tom Tomsk
FC Orenburg,Anzhi Makhachkala
CSKA Moscow,FK Akhmat
FC Ufa,FC Krasnodar
Spartak Moscow,Lokomotiv Moscow
Arsenal Tula,Zenit St. Petersburg
Rubin Kazan,Ural
FC Orenburg,Spartak Moscow
Tom Tomsk,Arsenal Tula
Ural,Anzhi Makhachkala
FK Akhmat,Amkar
Lokomotiv Moscow,FC Ufa
Krylya Sovetov Samara,CSKA Moscow
FC Krasnodar,FC Rostov
Zenit St. Petersburg,Rubin Kazan
CSKA Moscow,FC Krasnodar
FC Rostov,Lokomotiv Moscow
FC Orenburg,Ural
Arsenal Tula,FK Akhmat
