Home,Away
Ural,FC Rostov
Tosno,FC Ufa
Anzhi Makhachkala,CSKA Moscow
SKA-Khabarovsk,Zenit St. Petersburg
Rubin Kazan,FC Krasnodar
FK Akhmat,Amkar
Lokomotiv Moscow,Arsenal Tula
Dinamo Moscow,Spartak Moscow
Anzhi Makhachkala,Amkar
CSKA Moscow,Lokomotiv Moscow
Zenit St. Petersburg,Rubin Kazan
FC Krasnodar,Tosno
FC Ufa,Spartak Moscow
Dinamo Moscow,Ural
FC Rostov,FK Akhmat
Arsenal Tula,SKA-Khabarovsk
CSKA Moscow,SKA-Khabarovsk
Ural,FC Ufa
Rubin Kazan,Arsenal Tula
FK Akhmat,Dinamo Moscow
Amkar,FC Rostov
Lokomotiv Moscow,Anzhi Makhachkala
Tosno,Zenit St. Petersburg
Spartak Moscow,FC Krasnodar
Anzhi Makhachkala,FC Rostov
FC Ufa,FK Akhmat
Dinamo Moscow,Amkar
Lokomotiv Moscow,SKA-Khabarovsk
Arsenal Tula,Tosno
CSKA Moscow,Rubin Kazan
Zenit St. Petersburg,Spartak Moscow
FC Krasnodar,Ural
SKA-Khabarovsk,Anzhi Makhachkala
Amkar,FC Ufa
Ural,Zenit St. Petersburg
Spartak Moscow,Arsenal Tula
FC Rostov,Dinamo Moscow
Rubin Kazan,Lokomotiv Moscow
Tosno,CSKA Moscow
FK Akhmat,FC Krasnodar
FC Ufa,FC Rostov
CSKA Moscow,Spartak Moscow
Anzhi Makhachkala,Dinamo Moscow
SKA-Khabarovsk,Rubin Kazan
Lokomotiv Moscow,Tosno
Zenit St. Petersburg,FK Akhmat
FC Krasnodar,Amkar
Arsenal Tula,Ural
Tosno,SKA-Khabarovsk
Ural,CSKA Moscow
Spartak Moscow,Lokomotiv Moscow
Rubin Kazan,Anzhi Makhachkala
Amkar,Zenit St. Petersburg
Dinamo Moscow,FC Ufa
FC Rostov,FC Krasnodar
FK Akhmat,Arsenal Tula
Anzhi Makhachkala,FC Ufa
Arsenal Tula,Amkar
Rubin Kazan,Tosno
Lokomotiv Moscow,Ural
SKA-Khabarovsk,Spartak Moscow
CSKA Moscow,FK Akhmat
Zenit St. Petersburg,FC Rostov
FC Krasnodar,Dinamo Moscow
Amkar,CSKA Moscow
Tosno,Anzhi Makhachkala
FC Rostov,Arsenal Tula
Spartak Moscow,Rubin Kazan
Dinamo Moscow,Zenit St. Petersburg
FC Ufa,FC Krasnodar
FK Akhmat,Lokomotiv Moscow
Ural,SKA-Khabarovsk
Arsenal Tula,Dinamo Moscow
CSKA Moscow,FC Rostov
Anzhi Makhachkala,FC Krasnodar
SKA-Khabarovsk,FK Akhmat
Tosno,Spartak Moscow
Rubin Kazan,Ural
Lokomotiv Moscow,Amkar
Zenit St. Petersburg,FC Ufa
Dinamo Moscow,CSKA Moscow
Spartak Moscow,Anzhi Makhachkala
Ural,Tosno
FC Rostov,Lokomotiv Moscow
FC Ufa,Arsenal Tula
FC Krasnodar,Zenit St. Petersburg
Amkar,SKA-Khabarovsk
FK Akhmat,Rubin Kazan
