Home,Away
Reims,Paris Saint Germain
SC Bastia,Marseille
Evian Thonon Gaillard,Caen
Guingamp,Saint-Etienne
Lille,Metz
Montpellier,Bordeaux
Nantes,Lens
Nice,Toulouse
Lyon,Rennes
Monaco,Lorient
Caen,Lille
Paris Saint Germain,SC Bastia
Rennes,Evian Thonon Gaillard
Toulouse,Lyon
Lens,Guingamp
Lorient,Nice
Metz,Nantes
Marseille,Montpellier
Saint-Etienne,Reims
Bordeaux,Monaco
Evian Thonon Gaillard,Paris Saint Germain
Guingamp,Marseille
Lille,Lorient
Nice,Bordeaux
Reims,Caen
Montpellier,Metz
SC Bastia,Toulouse
Lyon,Lens
Saint-Etienne,Rennes
Nantes,Monaco
Marseille,Nice
Monaco,Lille
Nantes,Montpellier
Toulouse,Evian Thonon Gaillard
Caen,Rennes
Lens,Reims
Lorient,Guingamp
Bordeaux,SC Bastia
Metz,Lyon
Paris Saint Germain,Saint-Etienne
Lyon,Monaco
Rennes,Paris Saint Germain
Saint-Etienne,Caen
Reims,Toulouse
Montpellier,Lorient
Nice,Metz
SC Bastia,Lens
Lille,Nantes
Guingamp,Bordeaux
Evian Thonon Gaillard,Marseille
Bordeaux,Evian Thonon Gaillard
Marseille,Rennes
Lorient,Reims
Metz,SC Bastia
Nantes,Nice
Toulouse,Caen
Lille,Montpellier
Lens,Saint-Etienne
Monaco,Guingamp
Paris Saint Germain,Lyon
Reims,Marseille
Rennes,Toulouse
Evian Thonon Gaillard,Lens
Guingamp,Metz
Lyon,Lorient
Montpellier,Monaco
Nice,Lille
SC Bastia,Nantes
Caen,Paris Saint Germain
Saint-Etienne,Bordeaux
Monaco,Nice
Toulouse,Paris Saint Germain
Montpellier,Guingamp
Metz,Reims
Lille,SC Bastia
Lorient,Evian Thonon Gaillard
Bordeaux,Rennes
Lens,Caen
Nantes,Lyon
Marseille,Saint-Etienne
Reims,Bordeaux
Caen,Marseille
Nice,Montpellier
SC Bastia,Lorient
Rennes,Lens
Evian Thonon Gaillard,Metz
Saint-Etienne,Toulouse
Guingamp,Nantes
Lyon,Lille
Paris Saint Germain,Monaco
Lens,Paris Saint Germain
Lorient,Saint-Etienne
