Liga: LaLiga    ; powers: p0.m; epowers: p1.m; lnpowers: p12.m; SUM: 4.37
Liga: Ligue_1   ; powers: p0.m; epowers: p1.m; lnpowers: p12.m; SUM: 53.78
Liga: Serie_A   ; powers: p0.m; epowers: p1.m; lnpowers: p12.m; SUM: -2.55
Liga: Bundesliga; powers: p0.m; epowers: p12.m; lnpowers: p12.m; SUM: -13.83
Liga: LaLiga    ; powers: p0.m; epowers: p12.m; lnpowers: p12.m; SUM: -3.86
Liga: Ligue_1   ; powers: p0.m; epowers: p12.m; lnpowers: p12.m; SUM: 63.56
Liga: Serie_A   ; powers: p0.m; epowers: p12.m; lnpowers: p12.m; SUM: 12.69
Liga: Bundesliga; powers: p0.m; epowers: p123.m; lnpowers: p12.m; SUM: -15.66
Liga: LaLiga    ; powers: p0.m; epowers: p123.m; lnpowers: p12.m; SUM: 6.66
Liga: Ligue_1   ; powers: p0.m; epowers: p123.m; lnpowers: p12.m; SUM: 45.81
Liga: Serie_A   ; powers: p0.m; epowers: p123.m; lnpowers: p12.m; SUM: 8.46
Liga: Bundesliga; powers: p0.m; epowers: p13.m; lnpowers: p12.m; SUM: -13.78
Liga: LaLiga    ; powers: p0.m; epowers: p13.m; lnpowers: p12.m; SUM: 1.42
Liga: Ligue_1   ; powers: p0.m; epowers: p13.m; lnpowers: p12.m; SUM: 54.49
Liga: Serie_A   ; powers: p0.m; epowers: p13.m; lnpowers: p12.m; SUM: 12.5
Liga: Bundesliga; powers: p0.m; epowers: p2.m; lnpowers: p12.m; SUM: -24.59
Liga: LaLiga    ; powers: p0.m; epowers: p2.m; lnpowers: p12.m; SUM: 0.63
Liga: Ligue_1   ; powers: p0.m; epowers: p2.m; lnpowers: p12.m; SUM: 43.39
Liga: Serie_A   ; powers: p0.m; epowers: p2.m; lnpowers: p12.m; SUM: -4.58
Liga: Bundesliga; powers: p0.m; epowers: p23.m; lnpowers: p12.m; SUM: -20.92
Liga: LaLiga    ; powers: p0.m; epowers: p23.m; lnpowers: p12.m; SUM: 1.62
Liga: Ligue_1   ; powers: p0.m; epowers: p23.m; lnpowers: p12.m; SUM: 58.5
Liga: Serie_A   ; powers: p0.m; epowers: p23.m; lnpowers: p12.m; SUM: 12.48
Liga: Bundesliga; powers: p0.m; epowers: p3.m; lnpowers: p12.m; SUM: -14.49
Liga: LaLiga    ; powers: p0.m; epowers: p3.m; lnpowers: p12.m; SUM: 0.92
Liga: Ligue_1   ; powers: p0.m; epowers: p3.m; lnpowers: p12.m; SUM: 46.78
Liga: Serie_A   ; powers: p0.m; epowers: p3.m; lnpowers: p12.m; SUM: 1.4
Liga: Bundesliga; powers: p0.m; epowers: p0.m; lnpowers: p123.m; SUM: -5.28
Liga: LaLiga    ; powers: p0.m; epowers: p0.m; lnpowers: p123.m; SUM: -12.81
Liga: Ligue_1   ; powers: p0.m; epowers: p0.m; lnpowers: p123.m; SUM: 54.97
Liga: Serie_A   ; powers: p0.m; epowers: p0.m; lnpowers: p123.m; SUM: -6.14
Liga: Bundesliga; powers: p0.m; epowers: p1.m; lnpowers: p123.m; SUM: -10.11
Liga: LaLiga    ; powers: p0.m; epowers: p1.m; lnpowers: p123.m; SUM: -1.81
Liga: Ligue_1   ; powers: p0.m; epowers: p1.m; lnpowers: p123.m; SUM: 53.99
Liga: Serie_A   ; powers: p0.m; epowers: p1.m; lnpowers: p123.m; SUM: 4.68
Liga: Bundesliga; powers: p0.m; epowers: p12.m; lnpowers: p123.m; SUM: -10.63
Liga: LaLiga    ; powers: p0.m; epowers: p12.m; lnpowers: p123.m; SUM: 5.29
Liga: Ligue_1   ; powers: p0.m; epowers: p12.m; lnpowers: p123.m; SUM: 40.94
Liga: Serie_A   ; powers: p0.m; epowers: p12.m; lnpowers: p123.m; SUM: 1.52
Liga: Bundesliga; powers: p0.m; epowers: p123.m; lnpowers: p123.m; SUM: -11.14
Liga: LaLiga    ; powers: p0.m; epowers: p123.m; lnpowers: p123.m; SUM: -5.59
Liga: Ligue_1   ; powers: p0.m; epowers: p123.m; lnpowers: p123.m; SUM: 58.83
Liga: Serie_A   ; powers: p0.m; epowers: p123.m; lnpowers: p123.m; SUM: 6.7
Liga: Bundesliga; powers: p0.m; epowers: p13.m; lnpowers: p123.m; SUM: -20.74
Liga: LaLiga    ; powers: p0.m; epowers: p13.m; lnpowers: p123.m; SUM: 0.17
Liga: Ligue_1   ; powers: p0.m; epowers: p13.m; lnpowers: p123.m; SUM: 41.08
Liga: Serie_A   ; powers: p0.m; epowers: p13.m; lnpowers: p123.m; SUM: 7.59
Liga: Bundesliga; powers: p0.m; epowers: p2.m; lnpowers: p123.m; SUM: -9.08
Liga: LaLiga    ; powers: p0.m; epowers: p2.m; lnpowers: p123.m; SUM: -1.47
Liga: Ligue_1   ; powers: p0.m; epowers: p2.m; lnpowers: p123.m; SUM: 52.13
Liga: Serie_A   ; powers: p0.m; epowers: p2.m; lnpowers: p123.m; SUM: 2.92
Liga: Bundesliga; powers: p0.m; epowers: p23.m; lnpowers: p123.m; SUM: -24.24
Liga: LaLiga    ; powers: p0.m; epowers: p23.m; lnpowers: p123.m; SUM: 6.32
Liga: Ligue_1   ; powers: p0.m; epowers: p23.m; lnpowers: p123.m; SUM: 52.37
Liga: Serie_A   ; powers: p0.m; epowers: p23.m; lnpowers: p123.m; SUM: 1.57
Liga: Bundesliga; powers: p0.m; epowers: p3.m; lnpowers: p123.m; SUM: -13.97
Liga: LaLiga    ; powers: p0.m; epowers: p3.m; lnpowers: p123.m; SUM: -5.71
Liga: Ligue_1   ; powers: p0.m; epowers: p3.m; lnpowers: p123.m; SUM: 53.43
Liga: Serie_A   ; powers: p0.m; epowers: p3.m; lnpowers: p123.m; SUM: 4.92
Liga: Bundesliga; powers: p0.m; epowers: p0.m; lnpowers: p13.m; SUM: -19.41
Liga: LaLiga    ; powers: p0.m; epowers: p0.m; lnpowers: p13.m; SUM: 6.59
Liga: Ligue_1   ; powers: p0.m; epowers: p0.m; lnpowers: p13.m; SUM: 42.16
Liga: Serie_A   ; powers: p0.m; epowers: p0.m; lnpowers: p13.m; SUM: 1.74
Liga: Bundesliga; powers: p0.m; epowers: p1.m; lnpowers: p13.m; SUM: -12.11
Liga: LaLiga    ; powers: p0.m; epowers: p1.m; lnpowers: p13.m; SUM: 5.16
Liga: Ligue_1   ; powers: p0.m; epowers: p1.m; lnpowers: p13.m; SUM: 49.85
Liga: Serie_A   ; powers: p0.m; epowers: p1.m; lnpowers: p13.m; SUM: -3.73
Liga: Bundesliga; powers: p0.m; epowers: p12.m; lnpowers: p13.m; SUM: -9.46
Liga: LaLiga    ; powers: p0.m; epowers: p12.m; lnpowers: p13.m; SUM: -0.64
Liga: Ligue_1   ; powers: p0.m; epowers: p12.m; lnpowers: p13.m; SUM: 60.42
Liga: Serie_A   ; powers: p0.m; epowers: p12.m; lnpowers: p13.m; SUM: 8.91
Liga: Bundesliga; powers: p0.m; epowers: p123.m; lnpowers: p13.m; SUM: -22.67
Liga: LaLiga    ; powers: p0.m; epowers: p123.m; lnpowers: p13.m; SUM: 1.12
Liga: Ligue_1   ; powers: p0.m; epowers: p123.m; lnpowers: p13.m; SUM: 44.85
Liga: Serie_A   ; powers: p0.m; epowers: p123.m; lnpowers: p13.m; SUM: 8.32
Liga: Bundesliga; powers: p0.m; epowers: p13.m; lnpowers: p13.m; SUM: -15.71
Liga: LaLiga    ; powers: p0.m; epowers: p13.m; lnpowers: p13.m; SUM: 0.8
Liga: Ligue_1   ; powers: p0.m; epowers: p13.m; lnpowers: p13.m; SUM: 51.03
Liga: Serie_A   ; powers: p0.m; epowers: p13.m; lnpowers: p13.m; SUM: 6.7
Liga: Bundesliga; powers: p0.m; epowers: p2.m; lnpowers: p13.m; SUM: -24.98
Liga: LaLiga    ; powers: p0.m; epowers: p2.m; lnpowers: p13.m; SUM: 6.17
Liga: Ligue_1   ; powers: p0.m; epowers: p2.m; lnpowers: p13.m; SUM: 40.85
Liga: Serie_A   ; powers: p0.m; epowers: p2.m; lnpowers: p13.m; SUM: -2.43
Liga: Bundesliga; powers: p0.m; epowers: p23.m; lnpowers: p13.m; SUM: -27.53
Liga: LaLiga    ; powers: p0.m; epowers: p23.m; lnpowers: p13.m; SUM: 0.3
Liga: Ligue_1   ; powers: p0.m; epowers: p23.m; lnpowers: p13.m; SUM: 49.89
Liga: Serie_A   ; powers: p0.m; epowers: p23.m; lnpowers: p13.m; SUM: 10.86
Liga: Bundesliga; powers: p0.m; epowers: p3.m; lnpowers: p13.m; SUM: -15.88
Liga: LaLiga    ; powers: p0.m; epowers: p3.m; lnpowers: p13.m; SUM: 6.17
Liga: Ligue_1   ; powers: p0.m; epowers: p3.m; lnpowers: p13.m; SUM: 34.72
Liga: Serie_A   ; powers: p0.m; epowers: p3.m; lnpowers: p13.m; SUM: 4.37
Liga: Bundesliga; powers: p0.m; epowers: p0.m; lnpowers: p2.m; SUM: -15.13
Liga: LaLiga    ; powers: p0.m; epowers: p0.m; lnpowers: p2.m; SUM: 4.78
Liga: Ligue_1   ; powers: p0.m; epowers: p0.m; lnpowers: p2.m; SUM: 55.52
Liga: Serie_A   ; powers: p0.m; epowers: p0.m; lnpowers: p2.m; SUM: 18.97
Liga: Bundesliga; powers: p0.m; epowers: p1.m; lnpowers: p2.m; SUM: -18.22
Liga: LaLiga    ; powers: p0.m; epowers: p1.m; lnpowers: p2.m; SUM: 3.51
Liga: Ligue_1   ; powers: p0.m; epowers: p1.m; lnpowers: p2.m; SUM: 40.49
Liga: Serie_A   ; powers: p0.m; epowers: p1.m; lnpowers: p2.m; SUM: 7.94
Liga: Bundesliga; powers: p0.m; epowers: p12.m; lnpowers: p2.m; SUM: -28.27
Liga: LaLiga    ; powers: p0.m; epowers: p12.m; lnpowers: p2.m; SUM: 1.27
Liga: Ligue_1   ; powers: p0.m; epowers: p12.m; lnpowers: p2.m; SUM: 44.99
Liga: Serie_A   ; powers: p0.m; epowers: p12.m; lnpowers: p2.m; SUM: 12.86
Liga: Bundesliga; powers: p0.m; epowers: p123.m; lnpowers: p2.m; SUM: -9.2
Liga: LaLiga    ; powers: p0.m; epowers: p123.m; lnpowers: p2.m; SUM: -0.62
Liga: Ligue_1   ; powers: p0.m; epowers: p123.m; lnpowers: p2.m; SUM: 57.97
Liga: Serie_A   ; powers: p0.m; epowers: p123.m; lnpowers: p2.m; SUM: 8.84
Liga: Bundesliga; powers: p0.m; epowers: p13.m; lnpowers: p2.m; SUM: -21.7
Liga: LaLiga    ; powers: p0.m; epowers: p13.m; lnpowers: p2.m; SUM: 2.04
Liga: Ligue_1   ; powers: p0.m; epowers: p13.m; lnpowers: p2.m; SUM: 42.37
Liga: Serie_A   ; powers: p0.m; epowers: p13.m; lnpowers: p2.m; SUM: 13.23
Liga: Bundesliga; powers: p0.m; epowers: p2.m; lnpowers: p2.m; SUM: -15.5
Liga: LaLiga    ; powers: p0.m; epowers: p2.m; lnpowers: p2.m; SUM: 6.61
Liga: Ligue_1   ; powers: p0.m; epowers: p2.m; lnpowers: p2.m; SUM: 40.92
Liga: Serie_A   ; powers: p0.m; epowers: p2.m; lnpowers: p2.m; SUM: 19.66
Liga: Bundesliga; powers: p0.m; epowers: p23.m; lnpowers: p2.m; SUM: -21.73
Liga: LaLiga    ; powers: p0.m; epowers: p23.m; lnpowers: p2.m; SUM: 4.18
Liga: Ligue_1   ; powers: p0.m; epowers: p23.m; lnpowers: p2.m; SUM: 53.88
Liga: Serie_A   ; powers: p0.m; epowers: p23.m; lnpowers: p2.m; SUM: 17.3
Liga: Bundesliga; powers: p0.m; epowers: p3.m; lnpowers: p2.m; SUM: -8.53
Liga: LaLiga    ; powers: p0.m; epowers: p3.m; lnpowers: p2.m; SUM: -0.14
Liga: Ligue_1   ; powers: p0.m; epowers: p3.m; lnpowers: p2.m; SUM: 40.32
Liga: Serie_A   ; powers: p0.m; epowers: p3.m; lnpowers: p2.m; SUM: 19.19
Liga: Bundesliga; powers: p0.m; epowers: p0.m; lnpowers: p23.m; SUM: -27.38
Liga: LaLiga    ; powers: p0.m; epowers: p0.m; lnpowers: p23.m; SUM: -0.22
