Liga: Bundesliga; powers: p1345.m; epowers: p123.m; lnpowers: p12.m; SUM: -5.74
Liga: LaLiga    ; powers: p1345.m; epowers: p123.m; lnpowers: p12.m; SUM: -3.77
Liga: Ligue_1   ; powers: p1345.m; epowers: p123.m; lnpowers: p12.m; SUM: 4.05
Liga: Serie_A   ; powers: p1345.m; epowers: p123.m; lnpowers: p12.m; SUM: -6.28
Liga: Bundesliga; powers: p12345.m; epowers: p123.m; lnpowers: p23.m; SUM: 3.8
Liga: LaLiga    ; powers: p12345.m; epowers: p123.m; lnpowers: p23.m; SUM: -7.47
Liga: Ligue_1   ; powers: p12345.m; epowers: p123.m; lnpowers: p23.m; SUM: 12.23
Liga: Serie_A   ; powers: p12345.m; epowers: p123.m; lnpowers: p23.m; SUM: -9.19
Liga: Bundesliga; powers: p1245.m; epowers: p2.m; lnpowers: p123.m; SUM: 3.6
Liga: LaLiga    ; powers: p1245.m; epowers: p2.m; lnpowers: p123.m; SUM: -8.69
Liga: Ligue_1   ; powers: p1245.m; epowers: p2.m; lnpowers: p123.m; SUM: 13.11
Liga: Serie_A   ; powers: p1245.m; epowers: p2.m; lnpowers: p123.m; SUM: 10.59
Liga: Bundesliga; powers: p123.m; epowers: p23.m; lnpowers: p123.m; SUM: -3.87
Liga: LaLiga    ; powers: p123.m; epowers: p23.m; lnpowers: p123.m; SUM: -10.18
Liga: Ligue_1   ; powers: p123.m; epowers: p23.m; lnpowers: p123.m; SUM: 9.62
Liga: Serie_A   ; powers: p123.m; epowers: p23.m; lnpowers: p123.m; SUM: 16.34
Liga: Bundesliga; powers: p1234.m; epowers: p2.m; lnpowers: p123.m; SUM: 0.22
Liga: LaLiga    ; powers: p1234.m; epowers: p2.m; lnpowers: p123.m; SUM: -5.48
Liga: Ligue_1   ; powers: p1234.m; epowers: p2.m; lnpowers: p123.m; SUM: 17.11
Liga: Serie_A   ; powers: p1234.m; epowers: p2.m; lnpowers: p123.m; SUM: 8.66
Liga: Bundesliga; powers: p12345.m; epowers: p3.m; lnpowers: p12.m; SUM: 0.25
Liga: LaLiga    ; powers: p12345.m; epowers: p3.m; lnpowers: p12.m; SUM: -5.85
Liga: Ligue_1   ; powers: p12345.m; epowers: p3.m; lnpowers: p12.m; SUM: 15.28
Liga: Serie_A   ; powers: p12345.m; epowers: p3.m; lnpowers: p12.m; SUM: 13.76
Liga: Bundesliga; powers: p1245.m; epowers: p3.m; lnpowers: p123.m; SUM: 2.55
Liga: LaLiga    ; powers: p1245.m; epowers: p3.m; lnpowers: p123.m; SUM: -9.63
Liga: Ligue_1   ; powers: p1245.m; epowers: p3.m; lnpowers: p123.m; SUM: 14.69
Liga: Serie_A   ; powers: p1245.m; epowers: p3.m; lnpowers: p123.m; SUM: 12.32
Liga: Bundesliga; powers: p1235.m; epowers: p2.m; lnpowers: p123.m; SUM: 2.77
Liga: LaLiga    ; powers: p1235.m; epowers: p2.m; lnpowers: p123.m; SUM: -8.39
Liga: Ligue_1   ; powers: p1235.m; epowers: p2.m; lnpowers: p123.m; SUM: 14.11
Liga: Serie_A   ; powers: p1235.m; epowers: p2.m; lnpowers: p123.m; SUM: 9.59
Liga: Bundesliga; powers: p1345.m; epowers: p2.m; lnpowers: p123.m; SUM: 1.6
Liga: LaLiga    ; powers: p1345.m; epowers: p2.m; lnpowers: p123.m; SUM: -8.56
Liga: Ligue_1   ; powers: p1345.m; epowers: p2.m; lnpowers: p123.m; SUM: 13.96
Liga: Serie_A   ; powers: p1345.m; epowers: p2.m; lnpowers: p123.m; SUM: 15.4
Liga: Bundesliga; powers: p12345.m; epowers: p123.m; lnpowers: p23.m; SUM: 3.8
Liga: LaLiga    ; powers: p12345.m; epowers: p123.m; lnpowers: p23.m; SUM: -7.47
Liga: Ligue_1   ; powers: p12345.m; epowers: p123.m; lnpowers: p23.m; SUM: 12.23
Liga: Serie_A   ; powers: p12345.m; epowers: p123.m; lnpowers: p23.m; SUM: -9.19
Liga: Bundesliga; powers: p1234.m; epowers: p13.m; lnpowers: p12.m; SUM: 1.15
Liga: LaLiga    ; powers: p1234.m; epowers: p13.m; lnpowers: p12.m; SUM: -9.86
Liga: Ligue_1   ; powers: p1234.m; epowers: p13.m; lnpowers: p12.m; SUM: 1.8
Liga: Serie_A   ; powers: p1234.m; epowers: p13.m; lnpowers: p12.m; SUM: 11.75
Liga: Bundesliga; powers: p134.m; epowers: p123.m; lnpowers: p123.m; SUM: -4.96
Liga: LaLiga    ; powers: p134.m; epowers: p123.m; lnpowers: p123.m; SUM: 6.62
Liga: Ligue_1   ; powers: p134.m; epowers: p123.m; lnpowers: p123.m; SUM: 11.57
