HomeTeam,HomeGoals,HomeXG,AwayTeam,AwayGoals,AwayXG
Paris Saint Germain,2,2.68,Lille,0,0.75
Lyon,2,1.17,Nice,1,2.32
Brest,1,0.57,Nantes,1,1.50
Metz,1,0.90,Reims,1,1.53
Amiens,0,0.21,Strasbourg,4,2.67
Angers,1,1.13,Nimes,0,0.57
Dijon,2,0.61,Rennes,1,0.67
Bordeaux,2,1.48,Monaco,1,1.43
Saint-Etienne,0,0.48,Montpellier,0,1.34
Toulouse,0,0.90,Marseille,2,1.96
