HomeTeam,HomeGoals,HomeXG,AwayTeam,AwayGoals,AwayXG
Dijon,2,0.82,Paris Saint Germain,1,3.05
Marseille,2,0.66,Lille,1,0.70
Metz,2,1.14,Montpellier,2,0.66
Toulouse,2,1.37,Lyon,3,1.63
Angers,1,0.99,Strasbourg,0,1.37
Amiens,1,1.37,Brest,0,0.73
Bordeaux,2,0.83,Nantes,0,0.79
Nice,2,0.69,Reims,0,0.73
Saint-Etienne,1,1.51,Monaco,0,1.15
