Home,Away
Manchester United,Leicester
Newcastle United,Tottenham
Watford,Brighton
Huddersfield,Chelsea
Fulham,Crystal Palace
Bournemouth,Cardiff
Wolverhampton Wanderers,Everton
Southampton,Burnley
Liverpool,West Ham
Arsenal,Manchester City
Cardiff,Newcastle United
West Ham,Bournemouth
Tottenham,Fulham
Leicester,Wolverhampton Wanderers
Everton,Southampton
Chelsea,Arsenal
Manchester City,Huddersfield
Burnley,Watford
Brighton,Manchester United
Crystal Palace,Liverpool
Wolverhampton Wanderers,Manchester City
Southampton,Leicester
Huddersfield,Cardiff
Fulham,Burnley
Bournemouth,Everton
Arsenal,West Ham
Liverpool,Brighton
Watford,Crystal Palace
Newcastle United,Chelsea
Manchester United,Tottenham
Leicester,Liverpool
West Ham,Wolverhampton Wanderers
Everton,Huddersfield
Crystal Palace,Southampton
Chelsea,Bournemouth
Brighton,Fulham
Manchester City,Newcastle United
Cardiff,Arsenal
Burnley,Manchester United
Watford,Tottenham
Tottenham,Liverpool
Newcastle United,Arsenal
Manchester City,Fulham
Huddersfield,Crystal Palace
Chelsea,Cardiff
Bournemouth,Leicester
Watford,Manchester United
Wolverhampton Wanderers,Burnley
Everton,West Ham
Southampton,Brighton
Fulham,Watford
Manchester United,Wolverhampton Wanderers
Liverpool,Southampton
Leicester,Huddersfield
Crystal Palace,Newcastle United
Cardiff,Manchester City
Burnley,Bournemouth
Brighton,Tottenham
West Ham,Chelsea
Arsenal,Everton
West Ham,Manchester United
Wolverhampton Wanderers,Southampton
Newcastle United,Leicester
Manchester City,Brighton
Huddersfield,Tottenham
Everton,Fulham
Arsenal,Watford
Chelsea,Liverpool
Cardiff,Burnley
Bournemouth,Crystal Palace
Brighton,West Ham
Watford,Bournemouth
Tottenham,Cardiff
Leicester,Everton
Crystal Palace,Wolverhampton Wanderers
Burnley,Huddersfield
Manchester United,Newcastle United
Fulham,Arsenal
Southampton,Chelsea
Liverpool,Manchester City
Chelsea,Manchester United
Wolverhampton Wanderers,Watford
West Ham,Tottenham
Newcastle United,Brighton
Manchester City,Burnley
Cardiff,Fulham
Bournemouth,Southampton
Huddersfield,Liverpool
Everton,Crystal Palace
Arsenal,Leicester
Liverpool,Cardiff
Fulham,Bournemouth
Brighton,Wolverhampton Wanderers
Watford,Huddersfield
Southampton,Newcastle United
Leicester,West Ham
Crystal Palace,Arsenal
Burnley,Chelsea
Manchester United,Everton
Tottenham,Manchester City
Bournemouth,Manchester United
West Ham,Burnley
Newcastle United,Watford
Everton,Brighton
Cardiff,Leicester
Arsenal,Liverpool
Wolverhampton Wanderers,Tottenham
Manchester City,Southampton
Chelsea,Crystal Palace
Huddersfield,Fulham
Cardiff,Brighton
Southampton,Watford
Newcastle United,Bournemouth
Leicester,Burnley
Huddersfield,West Ham
Crystal Palace,Tottenham
Liverpool,Fulham
Chelsea,Everton
Manchester City,Manchester United
Arsenal,Wolverhampton Wanderers
West Ham,Manchester City
Watford,Liverpool
Manchester United,Crystal Palace
Fulham,Southampton
Everton,Cardiff
Brighton,Leicester
Tottenham,Chelsea
Bournemouth,Arsenal
Wolverhampton Wanderers,Huddersfield
Burnley,Newcastle United
Cardiff,Wolverhampton Wanderers
Newcastle United,West Ham
Manchester City,Bournemouth
Leicester,Watford
Huddersfield,Brighton
Crystal Palace,Burnley
Southampton,Manchester United
Chelsea,Fulham
Arsenal,Tottenham
Liverpool,Everton
Brighton,Crystal Palace
Bournemouth,Huddersfield
West Ham,Cardiff
Watford,Manchester City
Wolverhampton Wanderers,Chelsea
Fulham,Leicester
Burnley,Liverpool
Everton,Newcastle United
