Home,Away
CSKA Moscow,FC Krasnodar
FK Akhmat,Dinamo Moscow
Kuban Krasnodar,Zenit St. Petersburg
Amkar,Arsenal Tula
FC Rostov,Torpedo Moscow
FC Ufa,Kuban Krasnodar
Mordovya,Ural
Amkar,FK Akhmat
Torpedo Moscow,CSKA Moscow
FC Krasnodar,Lokomotiv Moscow
Spartak Moscow,Rubin Kazan
FC Rostov,Dinamo Moscow
Zenit St. Petersburg,Arsenal Tula
Amkar,Dinamo Moscow
Spartak Moscow,Zenit St. Petersburg
FC Rostov,FK Akhmat
Kuban Krasnodar,Dinamo Moscow
Amkar,Lokomotiv Moscow
Torpedo Moscow,Rubin Kazan
FC Ufa,Mordovya
Arsenal Tula,FC Krasnodar
CSKA Moscow,Ural
Ural,FC Ufa
Rubin Kazan,Kuban Krasnodar
Lokomotiv Moscow,CSKA Moscow
Dinamo Moscow,Torpedo Moscow
Zenit St. Petersburg,FC Rostov
FK Akhmat,Spartak Moscow
Mordovya,Arsenal Tula
FC Krasnodar,Amkar
Mordovya,FC Rostov
Amkar,Kuban Krasnodar
Arsenal Tula,FK Akhmat
Lokomotiv Moscow,Rubin Kazan
Spartak Moscow,CSKA Moscow
FC Ufa,Zenit St. Petersburg
FC Krasnodar,Torpedo Moscow
Ural,Dinamo Moscow
Amkar,Zenit St. Petersburg
Torpedo Moscow,Ural
Spartak Moscow,FC Ufa
FC Krasnodar,FC Rostov
Mordovya,FK Akhmat
Dinamo Moscow,Arsenal Tula
Lokomotiv Moscow,Kuban Krasnodar
CSKA Moscow,Rubin Kazan
Zenit St. Petersburg,Lokomotiv Moscow
Dinamo Moscow,FC Krasnodar
Kuban Krasnodar,Arsenal Tula
Spartak Moscow,Amkar
FK Akhmat,Ural
FC Ufa,Rubin Kazan
Torpedo Moscow,Mordovya
FC Rostov,CSKA Moscow
