Home,Away
Hull,Leicester
Crystal Palace,West Bromwich Albion
Everton,Tottenham
Burnley,Swansea
Middlesbrough,Stoke
Southampton,Watford
Manchester City,Sunderland
Bournemouth,Manchester United
Arsenal,Liverpool
Chelsea,West Ham
Manchester United,Southampton
Stoke,Manchester City
Burnley,Liverpool
Swansea,Hull
Tottenham,Crystal Palace
Watford,Chelsea
West Bromwich Albion,Everton
Leicester,Arsenal
Sunderland,Middlesbrough
West Ham,Bournemouth
Tottenham,Liverpool
Watford,Arsenal
Leicester,Swansea
Southampton,Sunderland
Chelsea,Burnley
Crystal Palace,Bournemouth
Everton,Stoke
Hull,Manchester United
West Bromwich Albion,Middlesbrough
Manchester City,West Ham
Manchester United,Manchester City
Middlesbrough,Crystal Palace
Stoke,Tottenham
Arsenal,Southampton
Bournemouth,West Bromwich Albion
Burnley,Hull
West Ham,Watford
Liverpool,Leicester
Swansea,Chelsea
Sunderland,Everton
Chelsea,Liverpool
Hull,Arsenal
Leicester,Burnley
Manchester City,Bournemouth
West Bromwich Albion,West Ham
Everton,Middlesbrough
Watford,Manchester United
Crystal Palace,Stoke
Southampton,Swansea
Tottenham,Sunderland
Swansea,Manchester City
Manchester United,Leicester
Middlesbrough,Tottenham
Stoke,West Bromwich Albion
Sunderland,Crystal Palace
Liverpool,Hull
Bournemouth,Everton
Arsenal,Chelsea
West Ham,Southampton
Burnley,Watford
Everton,Crystal Palace
Swansea,Liverpool
Sunderland,West Bromwich Albion
Hull,Chelsea
Watford,Bournemouth
West Ham,Middlesbrough
Manchester United,Stoke
Leicester,Southampton
Tottenham,Manchester City
Burnley,Arsenal
Chelsea,Leicester
Arsenal,Swansea
Bournemouth,Hull
Manchester City,Everton
Stoke,Sunderland
West Bromwich Albion,Tottenham
Crystal Palace,West Ham
Middlesbrough,Watford
Southampton,Burnley
Liverpool,Manchester United
Bournemouth,Tottenham
West Ham,Sunderland
Swansea,Watford
Leicester,Crystal Palace
Hull,Stoke
Burnley,Everton
Arsenal,Middlesbrough
Liverpool,West Bromwich Albion
Manchester City,Southampton
Chelsea,Manchester United
Sunderland,Arsenal
Tottenham,Leicester
Watford,Hull
West Bromwich Albion,Manchester City
Middlesbrough,Bournemouth
Manchester United,Burnley
Crystal Palace,Liverpool
Everton,West Ham
Southampton,Chelsea
