Home,Away
Bayern Munich,Bayer Leverkusen
Hoffenheim,Werder Bremen
Hertha Berlin,VfB Stuttgart
Hamburger SV,Augsburg
Mainz 05,Hannover 96
Wolfsburg,Borussia Dortmund
Schalke 04,RasenBallsport Leipzig
Freiburg,Eintracht Frankfurt
Borussia M.Gladbach,FC Cologne
FC Cologne,Hamburger SV
Werder Bremen,Bayern Munich
Eintracht Frankfurt,Wolfsburg
Bayer Leverkusen,Hoffenheim
Augsburg,Borussia M.Gladbach
VfB Stuttgart,Mainz 05
Borussia Dortmund,Hertha Berlin
RasenBallsport Leipzig,Freiburg
Hannover 96,Schalke 04
Hamburger SV,RasenBallsport Leipzig
Mainz 05,Bayer Leverkusen
Wolfsburg,Hannover 96
Freiburg,Borussia Dortmund
Borussia M.Gladbach,Eintracht Frankfurt
Augsburg,FC Cologne
Hoffenheim,Bayern Munich
Hertha Berlin,Werder Bremen
Schalke 04,VfB Stuttgart
Hannover 96,Hamburger SV
Werder Bremen,Schalke 04
Eintracht Frankfurt,Augsburg
Bayern Munich,Mainz 05
VfB Stuttgart,Wolfsburg
RasenBallsport Leipzig,Borussia M.Gladbach
Hoffenheim,Hertha Berlin
Bayer Leverkusen,Freiburg
Borussia Dortmund,FC Cologne
Borussia M.Gladbach,VfB Stuttgart
Schalke 04,Bayern Munich
Augsburg,RasenBallsport Leipzig
Wolfsburg,Werder Bremen
FC Cologne,Eintracht Frankfurt
Hertha Berlin,Bayer Leverkusen
Freiburg,Hannover 96
Hamburger SV,Borussia Dortmund
Mainz 05,Hoffenheim
Bayern Munich,Wolfsburg
VfB Stuttgart,Augsburg
Mainz 05,Hertha Berlin
Werder Bremen,Freiburg
RasenBallsport Leipzig,Eintracht Frankfurt
Hoffenheim,Schalke 04
Borussia Dortmund,Borussia M.Gladbach
Hannover 96,FC Cologne
Bayer Leverkusen,Hamburger SV
Schalke 04,Bayer Leverkusen
Borussia M.Gladbach,Hannover 96
Wolfsburg,Mainz 05
Eintracht Frankfurt,VfB Stuttgart
Augsburg,Borussia Dortmund
Hamburger SV,Werder Bremen
Freiburg,Hoffenheim
Hertha Berlin,Bayern Munich
FC Cologne,RasenBallsport Leipzig
VfB Stuttgart,FC Cologne
Bayern Munich,Freiburg
Hoffenheim,Augsburg
Hertha Berlin,Schalke 04
Mainz 05,Hamburger SV
Hannover 96,Eintracht Frankfurt
Borussia Dortmund,RasenBallsport Leipzig
Bayer Leverkusen,Wolfsburg
Werder Bremen,Borussia M.Gladbach
Schalke 04,Mainz 05
RasenBallsport Leipzig,VfB Stuttgart
Borussia M.Gladbach,Bayer Leverkusen
Eintracht Frankfurt,Borussia Dortmund
Augsburg,Hannover 96
Hamburger SV,Bayern Munich
FC Cologne,Werder Bremen
Freiburg,Hertha Berlin
Wolfsburg,Hoffenheim
Mainz 05,Eintracht Frankfurt
Hoffenheim,Borussia M.Gladbach
Hertha Berlin,Hamburger SV
Schalke 04,Wolfsburg
Bayer Leverkusen,FC Cologne
Hannover 96,Borussia Dortmund
Bayern Munich,RasenBallsport Leipzig
Werder Bremen,Augsburg
VfB Stuttgart,Freiburg
Eintracht Frankfurt,Werder Bremen
RasenBallsport Leipzig,Hannover 96
Freiburg,Schalke 04
Borussia M.Gladbach,Mainz 05
Augsburg,Bayer Leverkusen
Hamburger SV,VfB Stuttgart
Borussia Dortmund,Bayern Munich
FC Cologne,Hoffenheim
Wolfsburg,Hertha Berlin
VfB Stuttgart,Borussia Dortmund
Bayern Munich,Augsburg
Hoffenheim,Eintracht Frankfurt
Bayer Leverkusen,RasenBallsport Leipzig
Mainz 05,FC Cologne
Wolfsburg,Freiburg
Hertha Berlin,Borussia M.Gladbach
Schalke 04,Hamburger SV
Werder Bremen,Hannover 96
Hannover 96,VfB Stuttgart
Borussia Dortmund,Schalke 04
RasenBallsport Leipzig,Werder Bremen
