Home,Away
Atalanta,Sampdoria
Benevento,Verona
Torino,Crotone
AC Milan,Inter
Chievo,Sassuolo
Benevento,Juventus
SPAL 2013,Atalanta
Roma,Fiorentina
Sampdoria,Genoa
Torino,Inter
Crotone,Bologna
Verona,Cagliari
Napoli,Chievo
Udinese,Lazio
AC Milan,Sassuolo
Cagliari,Udinese
Genoa,Crotone
Chievo,Torino
Atalanta,Inter
Fiorentina,SPAL 2013
Sassuolo,Benevento
Bologna,Verona
AC Milan,Napoli
Juventus,Sampdoria
Lazio,Roma
Inter,Cagliari
Benevento,Atalanta
Sampdoria,Bologna
SPAL 2013,Chievo
Roma,Genoa
Crotone,Juventus
Fiorentina,Lazio
Torino,AC Milan
Verona,Sassuolo
Napoli,Udinese
SPAL 2013,Roma
Sassuolo,Fiorentina
AC Milan,Benevento
Cagliari,Bologna
Udinese,Crotone
Chievo,Inter
Lazio,Sampdoria
Atalanta,Torino
Juventus,Napoli
Genoa,Verona
Roma,Chievo
Inter,Juventus
Crotone,Sassuolo
Sampdoria,Cagliari
Atalanta,Genoa
Bologna,AC Milan
Benevento,Udinese
Verona,SPAL 2013
Fiorentina,Napoli
Torino,Lazio
AC Milan,Verona
Juventus,Bologna
Udinese,Inter
Lazio,Atalanta
SPAL 2013,Benevento
Chievo,Crotone
Genoa,Fiorentina
Napoli,Torino
Sassuolo,Sampdoria
Cagliari,Roma
Benevento,Genoa
Inter,Sassuolo
Fiorentina,Cagliari
Bologna,Chievo
Crotone,Lazio
Torino,SPAL 2013
Verona,Udinese
Atalanta,AC Milan
Roma,Juventus
Sampdoria,Napoli
Juventus,Verona
Cagliari,Atalanta
Chievo,Benevento
Udinese,Bologna
Napoli,Crotone
AC Milan,Fiorentina
Lazio,Inter
Sassuolo,Roma
SPAL 2013,Sampdoria
Genoa,Torino
