Home,Away
Arsenal,Leicester
Watford,Liverpool
West Bromwich Albion,Bournemouth
Southampton,Swansea
Chelsea,Burnley
Crystal Palace,Huddersfield
Everton,Stoke
Brighton,Manchester City
Newcastle United,Tottenham
Manchester United,West Ham
Swansea,Manchester United
Southampton,West Ham
Bournemouth,Watford
Burnley,West Bromwich Albion
Leicester,Brighton
Liverpool,Crystal Palace
Stoke,Arsenal
Huddersfield,Newcastle United
Tottenham,Chelsea
Manchester City,Everton
Bournemouth,Manchester City
Crystal Palace,Swansea
Newcastle United,West Ham
Watford,Brighton
Huddersfield,Southampton
Manchester United,Leicester
Chelsea,Everton
West Bromwich Albion,Stoke
Tottenham,Burnley
Liverpool,Arsenal
Manchester City,Liverpool
Southampton,Watford
Leicester,Chelsea
Arsenal,Bournemouth
Brighton,West Bromwich Albion
Everton,Tottenham
Stoke,Manchester United
Burnley,Crystal Palace
Swansea,Newcastle United
West Ham,Huddersfield
Bournemouth,Brighton
Crystal Palace,Southampton
Huddersfield,Leicester
Liverpool,Burnley
Newcastle United,Stoke
Watford,Manchester City
West Bromwich Albion,West Ham
Tottenham,Swansea
Chelsea,Arsenal
Manchester United,Everton
West Ham,Tottenham
Stoke,Chelsea
Swansea,Watford
Southampton,Manchester United
Manchester City,Crystal Palace
Burnley,Huddersfield
Everton,Bournemouth
Leicester,Liverpool
Brighton,Newcastle United
Arsenal,West Bromwich Albion
Huddersfield,Tottenham
Manchester United,Crystal Palace
Stoke,Southampton
West Bromwich Albion,Watford
West Ham,Swansea
Bournemouth,Leicester
Chelsea,Manchester City
Arsenal,Brighton
Everton,Burnley
Newcastle United,Liverpool
Liverpool,Manchester United
Burnley,West Ham
Crystal Palace,Chelsea
Manchester City,Stoke
Swansea,Huddersfield
Tottenham,Bournemouth
Watford,Arsenal
Brighton,Everton
Southampton,Newcastle United
Leicester,West Bromwich Albion
West Ham,Brighton
Huddersfield,Manchester United
Manchester City,Burnley
Newcastle United,Crystal Palace
Stoke,Bournemouth
Swansea,Leicester
Southampton,West Bromwich Albion
Chelsea,Watford
Everton,Arsenal
Tottenham,Liverpool
Manchester United,Tottenham
Arsenal,Swansea
Crystal Palace,West Ham
West Bromwich Albion,Manchester City
Watford,Stoke
Liverpool,Huddersfield
Bournemouth,Chelsea
Brighton,Southampton
Leicester,Everton
Burnley,Newcastle United
Stoke,Leicester
Huddersfield,West Bromwich Albion
Newcastle United,Bournemouth
Southampton,Burnley
Swansea,Brighton
West Ham,Liverpool
Tottenham,Crystal Palace
Manchester City,Arsenal
Chelsea,Manchester United
Everton,Watford
Arsenal,Tottenham
